ID,ID_vente,Code_ID_commune,Surface_carrez,Surface_reelle,Nbr_pieces,Code_local
1,15147,1,48.22,48,3,2
24846,1,1503,121.02,121,5,2
24923,1,2199,50.91,50,11,2
2,25076,1710,31.73,32,1,2
3,9779,327,70.84,70,3,2
16231,3,2900,276.57,325,10,1
4,20714,2408,40.55,40,2,2
12710,4,2356,197,197,10,2
5,21021,1512,39.69,39,2,2
26073,5,3213,15.35,11,10,2
6,23275,3203,28.39,28,2,2
10512,6,3208,390.1,379,9,2
7,13944,2950,49.45,55,3,2
23271,7,1277,558.87,348,9,2
8,21388,2639,47.52,38,2,2
17030,8,3208,328.35,346,9,2
9,18730,1035,42.94,46,2,2
504,9,3021,304.8,300,9,1
10,25232,595,30.86,31,1,2
11978,10,2421,252.79,249,9,1
11,1126,2411,106.19,107,5,2
12,27500,2196,18.93,20,1,2
6256,12,2124,130.96,212,9,2
13,652,2447,84.31,142,5,2
24530,13,3203,51.3,47,3,2
24751,13,2625,104.04,204,9,2
14,9559,1642,89.84,71,3,2
40,9559,2341,35.32,40,2,2
15,23188,3203,17.94,28,2,2
3337,15,818,212.88,180,9,1
16,7318,2222,61.52,59,4,2
5589,16,2229,137.41,160,9,1
17,18790,732,45.58,46,2,2
18,16938,2952,52.85,55,2,2
23696,18,2952,20.25,16,9,2
19,18600,326,47.33,47,2,2
19741,19,2954,277.54,357,8,2
20,3705,1038,88.45,89,4,1
497,20,3208,360.95,357,8,2
21,21097,3210,53.59,39,2,2
22,10863,343,67.19,66,3,2
1951,22,3199,320.2,325,8,2
23,23564,3210,24.3,25,2,2
23270,23,3208,319.75,316,8,2
24,13310,2211,57.27,58,3,2
6416,24,3208,315.55,314,8,2
25,6931,3047,80,66,4,1
21420,25,1906,320.92,312,8,2
26,28193,1734,19.11,18,1,2
8636,26,2266,290,274,8,1
27,10990,2945,62.1,65,3,2
14153,27,2954,271.85,270,8,2
28,17500,1953,49.89,51,2,2
7611,28,3197,268.87,269,8,2
29,3735,2426,89.41,89,4,2
30,13854,3139,57.1,56,3,2
21925,30,2438,111.52,248,8,1
22138,30,3207,51.1,56,3,2
31,2415,3203,120.28,120,4,2
32,10435,602,66.21,67,3,2
16328,32,3208,595,241,8,2
33,1354,480,96.21,100,5,1
24731,33,3208,227.85,232,8,2
34,22436,2194,34.86,33,2,2
25762,34,2954,210.01,230,8,2
35,2360,1618,108.78,124,4,2
21923,35,1054,238.18,225,8,2
36,10505,3050,67.1,67,3,2
4406,36,2278,210.92,217,8,1
37,28000,907,16.79,18,1,2
123,37,1718,220.72,210,8,1
38,8037,948,68.22,85,3,2
23695,38,281,214.88,206,8,2
39,28874,3204,10.06,10,1,2
10973,40,3197,183.06,173,8,2
41,2996,366,105.37,99,4,1
12939,41,2967,220.2,172,8,1
42,26779,331,25.31,24,1,2
23274,42,2922,185.44,171,8,1
43,17568,782,51.4,51,2,2
16596,43,2497,164.08,169,8,1
44,17567,949,51.4,51,2,2
45,754,2924,128.34,128,5,2
1541,45,1166,67.44,140,8,1
46,14784,3204,51.44,51,3,2
47,3835,3207,88.3,88,4,2
20416,47,3208,219.4,320,7,1
48,17834,2622,50.74,50,2,2
1975,48,3196,122.56,310,7,2
49,27843,372,18.89,19,1,2
23273,49,3209,282.61,300,7,2
50,8210,142,80.25,82,3,2
3675,50,3199,20.55,289,7,2
51,5763,2735,71.03,75,4,2
4701,51,315,256.55,265,7,2
52,19815,2855,43.42,43,2,2
1771,52,1289,399.04,261,7,1
53,22137,390,31.99,34,2,2
54,3846,2162,88.59,88,4,2
28487,54,2945,49.75,49,2,2
28564,54,1260,230.1,250,7,2
55,27584,1908,20.02,20,1,2
16196,55,3209,237.41,250,7,2
56,14387,1156,48.23,53,3,1
17104,56,3197,216.54,240,7,2
57,20962,2166,39.05,39,2,2
13303,57,1669,238.4,237,7,2
58,19083,2728,43.12,45,2,2
17007,58,3196,222.85,236,7,2
59,22589,3201,32.3,32,2,2
24718,59,2648,219.6,226,7,1
60,23113,877,29,29,2,2
21933,60,1825,210.26,223,7,2
