Code_ID_commune,Code_postal,Nom_commune,Code_dpt
503,25580,ETALANS,25
1500,51530,MAGENTA,51
877,33121,CARCANS,33
3164,97200,FORT DE FRANCE,972
2885,91150,ETAMPES,91
2728,85300,CHALLANS,85
618,20090,AJACCIO,2A
772,31450,BAZIEGE,31
740,31180,ROUFFIAC TOLOSAN,31
1903,66210,FORMIGUERES,66
812,33260,LA TESTE-DE-BUCH,33
2752,88190,GOLBEY,88
767,31120,LACROIX FALGARDE,31
1519,54250,CHAMPIGNEULLES,54
775,32100,CONDOM,32
879,33990,HOURTIN,33
1161,40660,MOLIETS-ET-MAA,40
3099,95690,LABBEVILLE,95
477,24200,SARLAT-LA-CANEDA,24
2026,69620,VAL D'OINGT,69
2448,78630,ORGEVAL,78
1302,44150,ANCENIS-SAINT-GEREON,44
1185,40550,LEON,40
1174,40130,CAPBRETON,40
1125,38160,SAINT-MARCELLIN,38
3106,95700,ROISSY-EN-FRANCE,95
84,4120,CASTELLANE,4
449,22240,FREHEL,22
367,14600,HONFLEUR,14
804,33127,MARTIGNAS SUR JALLE,33
484,25620,MAMIROLLE,25
2570,82410,ST-ETIENNE-DE-TULMONT,82
3181,97310,KOUROU,973
2566,82000,MONTAUBAN,82
2876,91310,LONGPONT-SUR-ORGE,91
1673,59890,DEULEMONT,59
1794,62220,CARVIN,62
518,26740,MONTBOUCHER-SUR-JABRON,26
326,13400,AUBAGNE,13
2627,83160,LA VALETTE DU VAR,83
1892,66200,CORNEILLA DEL VERCOL,66
311,11110,COURSAN,11
1896,66210,BOLQUERE,66
615,20137,PORTO-VECCHIO,2A
1799,62110,HENIN-BEAUMONT,62
448,22380,SAINT-CAST-LE-GUILDO,22
2211,76130,MONT-SAINT-AIGNAN,76
890,34130,MAUGUIO,34
629,20167,SARROLA-CARCOPINO,2A
622,20128,GROSSETO-PRUGNA,2A
1885,66140,CANET EN ROUSSILLON,66
98,4400,UVERNET-FOURS,4
2622,83130,LA GARDE,83
1097,38750,HUEZ,38
2130,74210,DOUSSARD,74
65,2600,VILLERS-COTTERETS,2
3044,94470,BOISSY-SAINT-LEGER,94
2505,78760,JOUARS-PONTCHARTRAIN,78
1138,39600,ARBOIS,39
867,33750,SAINT-QUENTIN-DE-BARON,33
142,6000,NICE,6
838,33550,HAUX,33
91,4800,GREOUX-LES-BAINS,4
919,34560,POUSSAN,34
915,34380,MAS-DE-LONDRES,34
901,34200,SETE,34
