ID_voie,Num_voie,Nom_voie,Code_voie
1,,A BERMOTTE,8
2,,ALFRED ANATOLE THEVENET,1
3,,ARTS ET VIE,58
4,,ASTORIA,18
5,,AUX CERFS,10
6,,BIOCHAUD,1
7,,CARRE BODICCIONE,18
8,,CELESTIN ANDUZE,5
9,,CHARLARY,8
10,,D AMONT,64
11,,DE BISSERIE,10
12,,DE DOMEVRE,0
13,,DE FALGARDE,1
14,,DE FROUARD,0
15,,DE L ESPLANADE,0
16,,DE L ESQUIF,10
17,,DE LA BASTIDE,12
18,,DE LA BAUVE,0
19,,DE LA DORDOGNE,1
20,,DE LA LIBERATION,12
21,,DE LA MALRUE,5
22,,DE LA MARINE,24
23,,DE LA NASSE,3
24,,DE LA PECHERIE,24
25,,DE LA SONE,0
26,,DERRIERE LE MOULIN,8
27,,DERRIERE LES TOURNELLES,8
28,,DES AIRES,12
29,,DES ARCADES,2
30,,DES BALEINIERS,1
31,,DES BATELEURS,0
32,,DES CHAMPS DU FOURNEAU,50
33,,DES ECUREUILS,0
34,,DES ETOILES,2
35,,DES GENEVRIERS,10
36,,DES HAUTES FLEURANCES,5
37,,DES JACINTHES,2
38,,DES MULETS,61
39,,DES PEUPLIERS,10
40,,DES VERRIERS,2
41,,DOCTEUR TREMOLIERES,1
42,,DU CANIGOU,2
43,,DU CIMETIERE,0
44,,DU GRAND TERMANAL,1
45,,DU MARECHAL JUIN,0
46,,DU PETIT CASINO,10
47,,DU POMMIER,18
48,,DU PORT JAQUET,0
49,,DU TRONQUET,0
50,,DU VIEUX VILLAGE CARNON,0
51,,EFFRICO,8
52,,FORCOLI,8
53,,FREDERIC MISTRAL,1
54,,GASTON MONNERVILLE,36
55,,L EDELWEISS,18
56,,L OLIVINE,8
57,,L OURS BLANC,18
58,,LA BERANGERE,18
59,,LA CREUSE NORD,8
60,,LA FOSSE SALMON,8
61,,LA HAIE GRISELLE,8
62,,LA PASSIFLORE,8
63,,LA PORTE D ANDIN,8
64,,LA ROCHAILLE,18
65,,LA SAPINIERE,18
66,,LA TOVIERE,18
67,,LA VILLE,8
68,,LAGASSE,8
69,,LAMARTINE,0
70,,LE BOSQUET AUX ECUREUILS I,40
71,,LE BOURG,8
72,,LE CEZANNE,18
73,,LE CHRISTIANA,18
74,,LE CLOS DE LA FONTAINE,18
75,,LE CLOS DES PINS,18
76,,LE LAUZAS,8
77,,LE MONOIKOS,18
78,,LE PONANT,18
79,,LE TRANIER,8
80,,LE VENIZIO,18
81,,LE VILLAGE,8
82,,LES ARGONAUTES,18
83,,LES AUZIS-SUD,8
84,,LES BOSQUETS II,18
85,,LES CHARMILLES,18
86,,LES COLLINES DU RICANTO,18
87,,LES ESTUDOMS,18
88,,LES FEUILLATES,8
89,,LES HOUCHES,8
90,,LES JARDINS CONVIVIALES,18
91,,LES JARDINS DE LA BALE,18
92,,LES MARMOTTES,18
93,,LES MARMOTTES BLEUES,18
94,,LES MELEZES,18
95,,LES PARQUETS,8
96,,LES SAVELS,8
97,,LES VILLAGEOISES,7
98,,LOUSTEAUNEUF,8
99,,MARGUERITE DUBOIS,0
100,,PARMENTIER,0
101,,PIERRE CURIE,0
102,,PORT VAUBAN,18
103,,PRA CHAUVET,18
104,,QRT PORETTA,8
105,,REDONDON,8
106,,RES DU ROI ALARIC,0
107,,RUE GEORGES DU MESNIL,8
108,,SCHEMMERHOFEN,12
109,,VALDAMPIERRE,8
110,,VALLE DI VIGNOLA,8
111,1,16E ET 22E DRAGONS,0
112,1,A 12,39
113,1,ABBE PIERRE,12
114,1,ABBE PIERRE ARNAUD,0
115,1,ADAM,0
116,1,ADOLPHE ALPHAND,0
117,1,ADRIENNE SIMON,45
118,1,AFFRE,0
119,1,AIME CESAIRE,0
120,1,ALAIN RAILLARD,0
121,1,ALARY,0
122,1,ALBERT CAMUS,2
123,1,ALBERT DHALENNE,0
124,1,ALBERT EINSTEIN,15
125,1,ALEXANDRE BECAMEL,0
126,1,ALEXANDRE DE FRAISSINETTE,15
127,1,ALEXANDRE DUMAS,0
128,1,ALEXANDRE MILLERAND,15
129,1,ALFRED DE MUSSET,2
130,1,ALFRED DUTHIL,0
131,1,ALFRED KASTLER,0
132,1,ALPHONSE HELBRONNER,0
133,1,ALPHONSE LAVERAN,0
134,1,ALPHONSE XIII,1
135,1,AMABLE AUDIN,0
136,1,AMELIE,45
137,1,AMPERE,0
138,1,AMPERE,12
139,1,ANATOLE DUCROS,15
140,1,ANATOLE FRANCE,0
141,1,ANDERS CELSIUS,0
142,1,ANDRE CRETAUX,35
143,1,ANDRE GERARDIN,0
144,1,ANDRE ISAIA,0
145,1,ANDRE JACQUEMIN,0
146,1,ANDRE LAFARGE,0
147,1,ANDRE MAGINOT,0
148,1,ANDRE MALRAUX,51
149,1,ANNA DE NOAILLES,10
150,1,ANNE FRANK,51
151,1,ANTOINE LOUVIER,0
152,1,ANTONIN ANTOUNE,0
153,1,ARGHALIER,0
154,1,ARISTIDE BELLANGER,0
155,1,ARISTIDE BRIAND,0
156,1,ARISTIDE BRIAND,1
157,1,ARISTIDE BRIAND,4
158,1,ARMAND DANEY,0
159,1,ARTHUR AUGER,0
160,1,ARTHUR CHRISTIANSEN,2
161,1,ARTHUR MULLOT,1
162,1,AUBER,0
163,1,AUGUSTE COTTA,12
164,1,AUGUSTE RENOIR,2
165,1,AUGUSTE RENOIR,51
166,1,AUGUSTE RODIN,2
167,1,AUGUSTE WISSEL,1
168,1,AUX HUILES,12
169,1,AVEDAM,0
170,1,BACHELET,0
171,1,BASSE DE LA VALLEE,0
172,1,BAUDIN,0
173,1,BAUYN DE PERREUSE,0
174,1,BAYARD,0
175,1,BEAUDOIN,12
176,1,BEAUFILS,0
177,1,BEAUREPAIRE,10
178,1,BECHEVELIN,0
179,1,BELLAVOINE,0
180,1,BENJAMIN MOLOISE,51
